_id,id,idanalista,atribuicao,status,validacao,status_val,obs,area_km2,data_inicial,data_entrega,idprojeto,geom,st_astext,data_inicio
662b05b5d0af6c1d441d2224,1902,1,analista 3,finalizado,NULL,NULL,NULL,0.280223847,2023-09-16,2023-09-23,1,0106000020EF7C00000100000001030000000100000005000000EC751196A2E31E4148171F7F1F9C5C41EC75119692EE1E4148171F7F1F9C5C41EC75119692EE1E4148171F7FBB9B5C41EC751196A2E31E4148171F7FBB9B5C41EC751196A2E31E4148171F7F1F9C5C41,,
662b05b5d0af6c1d441d2229,1907,1,analista 3,finalizado,NULL,NULL,NULL,0.280223847,2023-05-15,2023-05-22,1,0106000020EF7C00000100000001030000000100000005000000EC751196A2E31E4148171F7FF39A5C41EC75119692EE1E4148171F7FF39A5C41EC75119692EE1E4148171F7F8F9A5C41EC751196A2E31E4148171F7F8F9A5C41EC751196A2E31E4148171F7FF39A5C41,,
662b05b5d0af6c1d441d2234,1918,1,analista 3,finalizado,NULL,NULL,NULL,0.280223847,2023-01-24,2023-01-31,1,0106000020EF7C00000100000001030000000100000005000000EC751196A2E31E4148171F7F5FA25C41EC75119692EE1E4148171F7F5FA25C41EC75119692EE1E4148171F7FFBA15C41EC751196A2E31E4148171F7FFBA15C41EC751196A2E31E4148171F7F5FA25C41,,
662b05b5d0af6c1d441d223f,1929,1,analista 3,finalizado,NULL,NULL,NULL,0.280223847,2023-12-29,2024-01-05,1,0106000020EF7C00000100000001030000000100000005000000EC751196A2E31E4148171F7FABA65C41EC75119692EE1E4148171F7FABA65C41EC75119692EE1E4148171F7F47A65C41EC751196A2E31E4148171F7F47A65C41EC751196A2E31E4148171F7FABA65C41,,
662b05b5d0af6c1d441d2243,1933,1,analista 3,finalizado,NULL,NULL,NULL,0.280223781,2023-08-01,2023-08-08,1,0106000020EF7C00000100000001030000000100000005000000EC75119692EE1E4148171F7F9B985C41EC75119682F91E4148171F7F9B985C41EC75119682F91E4148171F7F37985C41EC75119692EE1E4148171F7F37985C41EC75119692EE1E4148171F7F9B985C41,,
662b05b5d0af6c1d441d2244,1934,1,analista 3,finalizado,NULL,NULL,NULL,0.280223781,2024-03-21,2024-03-28,1,0106000020EF7C00000100000001030000000100000005000000EC75119692EE1E4148171F7FFF985C41EC75119682F91E4148171F7FFF985C41EC75119682F91E4148171F7F9B985C41EC75119692EE1E4148171F7F9B985C41EC75119692EE1E4148171F7FFF985C41,,
662b05b5d0af6c1d441d2213,1885,1,analista 3,finalizado,NULL,NULL,NULL,0.280223847,2022-09-16,2022-09-23,1,0106000020EF7C00000100000001030000000100000005000000EC751196A2E31E4148171F7F9B985C41EC75119692EE1E4148171F7F9B985C41EC75119692EE1E4148171F7F37985C41EC751196A2E31E4148171F7F37985C41EC751196A2E31E4148171F7F9B985C41,,
662b05b5d0af6c1d441d2214,1886,1,analista 3,finalizado,NULL,NULL,NULL,0.280223847,2023-01-23,2023-01-30,1,0106000020EF7C00000100000001030000000100000005000000EC751196A2E31E4148171F7FFF985C41EC75119692EE1E4148171F7FFF985C41EC75119692EE1E4148171F7F9B985C41EC751196A2E31E4148171F7F9B985C41EC751196A2E31E4148171F7FFF985C41,,
662b05b5d0af6c1d441d2219,1891,1,analista 3,finalizado,NULL,NULL,NULL,0.280223847,2022-08-30,2022-09-06,1,0106000020EF7C00000100000001030000000100000005000000EC751196A2E31E4148171F7FD3975C41EC75119692EE1E4148171F7FD3975C41EC75119692EE1E4148171F7F6F975C41EC751196A2E31E4148171F7F6F975C41EC751196A2E31E4148171F7FD3975C41,,
662b05b5d0af6c1d441d221d,1895,1,analista 3,finalizado,NULL,NULL,NULL,0.280223847,2023-01-10,2023-01-17,1,0106000020EF7C00000100000001030000000100000005000000EC751196A2E31E4148171F7FA39F5C41EC75119692EE1E4148171F7FA39F5C41EC75119692EE1E4148171F7F3F9F5C41EC751196A2E31E4148171F7F3F9F5C41EC751196A2E31E4148171F7FA39F5C41,,
